Abréviation,Raison sociale,Nom,Spécialité,Catégorie pour la cartographie,Domaine d’études,Localité,Département,Région,Rattachement,Commentaires,Exclusif aux doctorant.e.s/docteur.e.s,Site internet,"Pages
réseaux",Contact,"Toujours en
activité ?",Commentaires prise de contact,"Représentation
sur la carte",,,,,,,,,
2AD ADEME,Association,Association des Doctorants et Anciens Doctorants de l’ ADEME,Aide générale pendant et après la thèse,Générale,ADEME (transition écologique),National,National,National,ADEME,"Objectif principal : le soutien de la communauté des doctorants et docteurs ADEME
pendant et après leur thèse. Permet notamment aux doctorants de renforcer le lien avec
l’ADEME et avec les autres doctorants.",Oui,"https://s ites.google.com/site/2adademe/?pli=1
https://theses.ademe.fr/2ad",Twitter,2ad.ademe@gmail.com,Oui,Répondu le 23/01/23,Oui,,,,,,,,,
ABG,Association,Association Bernard Grégory,"Emploi, formation, mobilité, valorisation","Carrière, Formation",Formation des titulaires et des doctorants,National,National,National,- - -,"Fondée en 1980, l'Association Bernard Gregory (ABG) œuvre pour l'évolution
professionnelle des docteurs (PhD), la capacité d'innovation des entreprises et la
valorisation des compétences issues de la formation par la recherche.",Oui,https://www.abg.asso.fr/fr/,"Twitter
Facebook
LinkedIn",01.42.74.27.40 abg@abg.asso.fr,Oui,,Oui,,,,,,,,,
ACÉDoCPsy,Association,"Association calédonienne des étudiants, doctorants et chercheurs en psychologie","Réseau, soutien, promotion, valorisation",Générale,Psychologie,Nouméa,(988) Nouvelle-Calédonie,Nouvelle-Calédonie,"Université de la Nouvelle-
Calédonie","Rassembler les étudiants, les doctorants et les chercheurs en psychologie de Nouvelle
Calédonie, organiser les échanges d'informations, de réflexions et de promouvoir la
recherche dans les divers domaines pratiques et théoriques liés à la psychologie et
aux Sciences Humaines et Sociales, de mener des travaux de recherche, soit à la
propre initiative de l'association, soit à la demande d'autres institutions, de diffuser les
travaux et les recherches en psychologie susceptibles de contribuer à la réflexion et à
la formation, de développer des contacts universitaires et de favoriser le lien avec des
laboratoires de recherche sur les plans territorial, océanien et international, d'aider les
étudiants, les doctorants et les chercheurs à mener à bien leurs actions. de veiller à
garantir les conditions de l'exercice de la recherche, dans le respect de la personne
humain.",Non,https://assoce.fr/waldec/W9N1005575/AC-DOCPSY-,Facebook,Via la page Facebook,Oui,,Oui,,,,,,,,,
ADAMS,Association,Association of Doctoral and Master Students,"Réseau, solidarité, soutien, événements",Générale,Digital world and the digital society,Nice,(06) Alpes-Maritimes,PACA,"Digital Systems for Humans
(DS4H),
Université de Côte d'Azur","Organisation d'événements à la fois académiques et de cohésion, soutien, échanges
scientifiques.",Non,- - -,Facebook,ds4h.adams@gmail.com,Oui,,Oui,,,,,,,,,
Addal,Association,Association des doctorants et docteurs d’Alsace,"Représentation, Promotion, réseau, défense des droits",Générale,Tous,Strasbourg,(67) Bas-Rhin,Grand-Est,- - -,"Réseau, Réussite professionnelle, Valoriser le travail, promouvoir l’échange, défense
des droits matériels et moraux, accompagnement, événements, représentation, soutien",Oui,http://www.beta.addal-asso.fr/language/fr/,"Twitter
Facebook
LinkedIn",addal@unistra.fr,Oui,,Oui,,,,,,,,,
ADDE,Association,Association des Doctorants Etrangers,"Réseau, informations, aide aux doctorants étrangers",Générale,- - -,Angers,(49) Maine-et-Loire,Pays-de-la-Loire,Université d'Angers,"Association d'accompagnement, d'orientation, d'accueil et d'aide à l'intégration des
doctorant.e.s étranger.e.s.",Oui,- - -,"Facebook
LinkedIn",adde.angers@gmail.com,Oui,,Oui,,,,,,,,,
ADDOSHS,Association,Association des Doctorants et Docteurs orléanais en Sciences Humaines et Sociales,"Réseau, informations, événements",Générale,Sciences humaines et sociales,Orléans,(45) Loiret,Centre-Val-de-Loire,Université d'Orléans,"Association des doctorants et docteurs en Sciences humaines et sociales de
l'université d'Orléans.",Oui,https://addoshs.wordpress.com/2021/10/02/planning-,Facebook,addoshs@gmail.com,Oui,Contacté par Fb le 26/03/23,Oui,,,,,,,,,
ADIC,Association,Association des doctorants et jeunes docteurs de l'Institut Curie,"Réseau, promotion, solidarité",Générale,Biomédical,Paris,(75) Paris,Île-de-France,Institut Curie,"Representing PhDs, PostDocs and every other young researcher of Institut Curie. Our
mission is to help young researchers from the institute to integrate into our scientific
community, to promote networking possibilities, to help their transition towards the next
career step and to provide vis ibility for our Institute.",Oui,adic.curie.fr,"Twitter
Facebook
LinkedIn
Instagram",u-adic@curie.fr,Oui,,Oui,,,,,,,,,
ADJC,Association,ANSANM Doctorants Jeunes Chercheurs Martinique,"Réseau, soutien, promotion, valorisation",Générale,Tous,"Campus Schoelcher,
Fort-de-France",(972) Martinique,Martinique,Université des Antilles,"L'association est née en 2014 de la volonté de favoriser les échanges entre
doctorants.e.s, jeunes chercheur.e.s et autres membres de la communauté universitaire
du pôle Martinique de l'Université des Antilles. Elle a pour vocation de : fédérer pour
créer des liens et rompre l’isolement, accompagner à travers le parcours de la thèse
et/ou dans le jeune projet professionnel, valoriser les travaux de Recherche, et
promouvoir les études doctorales.",Oui,"https://www.helloasso.com/associations/ansanm-
doctorant-e-s-et-jeunes-chercheur-e-s","Twitter
Facebook","06.96.93.13.39
ansanmdjc@gmail.com",Oui,,Oui,,,,,,,,,
ADN,Association,Association des doctorants néo-calédoniens,"Réseau, information",Générale,Tous,Nouméa,(988) Nouvelle-Calédonie,Nouvelle-Calédonie,"Université de la Nouvelle-
Calédonie","Regroupe les doctorantes et les doctorants et docteures et docteurs effectuant leur
thèse en Nouvelle-Calédonie, et permet l’échange d’informations et de bonnes pratiques .
(Anciennement CaleDoc)",Oui,- - -,"Facebook
""Facebook
(Groupe privé)""",assodoc.nc@gmail.com,Oui,Réponsdu le 01/02/2023,Oui,,,,,,,,,
